category_name,habit_description,habit_text
Entrance and Do Now,Ensure your “Do Now” task is already displayed or handed out before students arrive so they can begin immediately.,Do Now on board or distributed.
Entrance and Do Now,Quietly scan each pupil’s uniform as they enter and use discreet gestures or a brief prompt to correct any issues.,Uniforms checked and corrected silently.
Entrance and Do Now,Make sure you stand at the classroom door and personally welcome every student with eye contact and a smile.,"Teacher positioned at the threshold, greeting each pupil."
Entrance and Do Now,"Start a clear countdown (e.g., “20…19…18…”) as soon as everyone is in, to build urgency and focus.",Countdown used.
Entrance and Do Now,"Check that all pupils are writing or answering by twenty seconds into the task, and give an immediate warning if anyone isn’t.",Students working within 20 seconds.
Entrance and Do Now,Confirm that your two pre-assigned book-handlers distribute exercise books quickly and accurately before the countdown begins.,Exercise books handed out by designated students.
Entrance and Do Now,"Enforce a rapid transition into silence, with every pupil seated and focused no more than five seconds after the final student enters.",All students seated silently within 5 seconds.
Direct Instruction,"Choose and stick to a single modelling approach (e.g., “Stop and Jot” or “Live Model”) rather than switching methods mid-lesson.",One clear strategy of instruction is being used.
Direct Instruction,"Check that every student is engaged—writing their notes, repeating key phrases, or contributing to the shared model.","Pupils are actively participating (jotting, repeating, constructing)."
Direct Instruction,"Display each step of your thinking clearly on the board, using a consistent framework (e.g., “Step 1… Step 2…”).",Modelling is visible and structured.
Direct Instruction,Cold-call different students regularly to confirm they’ve grasped each point before moving on.,Teacher checks for accuracy and understanding throughout.
Checking for Understanding,"Embed a check (e.g., mini-whiteboards, turn-and-talk or exit tickets) at least once every five minutes.",At least one strategy in use.
Checking for Understanding,"After an initial answer, ask “Why?” or “Can you explain your reasoning?” to push for deeper analysis.",Follow-up questions deepen thinking.
Checking for Understanding,"As soon as you spot an error, pause the class briefly to correct the misunderstanding on the spot.",Misconceptions are addressed instantly.
Checking for Understanding,Ensure you select reluctant or quieter students explicitly—no one should be able to sit out.,Every pupil is participating (no opt out).
Application,"Check that each student is working on the Core, Stretch or Twist activity you intended for their level.","Pupils are completing core, stretch and twist tasks."
Application,Look for and praise evidence of student persistence—note who sticks with the toughest questions.,Pupils are resilient and focused on task.
Application,"During the independent challenge, circulate silently—do not prompt or clarify unless it’s part of your diagnostic plan.",Silent Solo is observed with no help offered.
Application,Write the time allowed on the board and count down; stop the task exactly when time is up.,Timings are visible and enforced.
Exit Routine,Signal clearly when there are two minutes left and insist everyone packs up without speaking.,Pupils pack away in silence.
Exit Routine,Ensure your designated book-collectors gather and stack exercise books swiftly while others tidy.,Books collected efficiently by named pupils.
Exit Routine,"Dismiss row by row with eye contact and a positive phrase, ensuring they leave the room silently.",Pupils dismissed in controlled and silent fashion.
Exit Routine,End with a brief summary or praise statement—keep it under 15 seconds and very focused.,"Teacher delivers calm, purposeful closing message."
Exit Routine,Stand at the door to monitor and praise correct corridor conduct as students leave.,Corridor behaviour calm and compliant upon exit.
Behaviour Routines and Sanctions,"Use a steady, authoritative tone to give each warning—avoid raising your voice or debating the consequence.",Warnings delivered calmly and clearly.
Behaviour Routines and Sanctions,Aim to catch and praise at least four positive behaviours for every correction you issue.,Praise-to-warning ratio of 4:1 observed.
Behaviour Routines and Sanctions,Remain composed and confident—even under challenge—to reinforce your status and defuse tension.,Teacher maintains calm authority throughout.
Behaviour Routines and Sanctions,"Stick to the agreed system: once a warning is given, do not engage in debate—apply the next sanction if needed.",No negotiation of consequences or arguing.
Behaviour Routines and Sanctions,Use silent cues or brief verbal reminders to bring any off-task student swiftly back on track.,Pupils consistently corrected and re-engaged.
Pace and Presence,Set a visible timer for each activity and move the class on instantly when it rings.,Lesson transitions are timed and prompt.
Pace and Presence,Eliminate any dead time between tasks so every second is allocated to learning.,No wasted time—pupils are always working.
Pace and Presence,"Stay standing, circulate purposefully around the room, and scan students’ work continuously.",Teacher remains on feet and actively circulates.
Pace and Presence,"Open the lesson with a firm, controlled voice and purposeful posture to set the tone.",Clear tone and presence established early.
Academic Talk and Language,"Check that pairs follow the agreed protocol—no interrupting, one speaker at a time.","Talk routines observed (e.g., turn and talk)."
Academic Talk and Language,"Prompt students to restate their answers in full, structured sentences rather than single words.",Pupils using full sentences.
Academic Talk and Language,Listen for imprecise terms and model the exact subject-specific word immediately.,Vocabulary corrected or refined during discussion.
Academic Talk and Language,Use advanced terminology and clear syntax yourself—never simplify the language for its own sake.,Teacher models high-quality academic language.
Memory Routines,Cold-call random students to share their recall answers—no hands-up.,All pupils participate.
Memory Routines,Scan responses quickly and correct errors on the spot rather than waiting until later.,Corrections are immediate.
Memory Routines,Display the starter quiz or blank-page test clearly on the board with instructions before you begin.,Retrieval task is visible and structured.
Memory Routines,Press students for accurate spellings or definitions—praise exact recall.,Vocabulary and facts recalled precisely.
Give your Best Self,"Issue the “Give your Best Self” command and scan the room, pausing to affirm correct posture.",All students are sat up straight with pens down and hands on the desk.
Give your Best Self,"If a student doesn’t comply within two seconds, give a brief reminder or warning.",Sanctions are given swiftly for non-compliance.
Give your Best Self,Circulate or scan front to back to verify everyone is fully engaged in the posture routine.,Teacher checks for compliance quickly and efficiently.
Give your Best Self,Verbally acknowledge individuals immediately when they adopt Best Self posture.,Teacher praises the students who are doing the right thing.
Reading Routine,Acknowledge students who move the ruler line-by-line with accuracy and focus.,Teacher praises those demonstrating precise tracking.
Reading Routine,Remind pupils to position their ruler correctly under the first line before “Begin Reading Routine.”,All students have rulers in place and are tracking the text.
Reading Routine,"If you spot a pupil not tracking, deliver a quick, firm reminder to resume correctly.",Sanctions issued immediately for any non-compliance.
Reading Routine,Circulate promptly—stand behind each row to confirm rulers are tracking the text line by line.,Teacher scans quickly for correct setup and movement between lines.
